Promoter Name,Address,Builder Pin Code,Email,Phone Number,Name,Location,Project Pin Code,Registration No.,Valid Until,Construction Status,Certificate,Extension Certificate
PARSVNATH LANDMARK DEVELOPERS PVT. LTD.,"Parsvnath Tower Near Shahdara Metro Station Shahdara DELHI – 110032,Shahdara,delhi,Shahdara,110032",110032,rera@parsvnath.com,9205809569,Parsvnath La-Tropicana Phase-II,"Parsvnath La-Tropicana, Khyber Pass, Magazine Road, Civil Lines Delhi-110054 , Civil Lines, Delhi, North Delhi , 110054",110054,DLRERA2022P0003,13/10/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0003,Not Applicable
PARSVNATH LANDMARK DEVELOPERS PVT. LTD.,"Parsvnath Tower Near Shahdara Metro Station Shahdara DELHI – 110032,Shahdara,delhi,Shahdara,110032",110032,rera@parsvnath.com,9205809569,Parsvnath La-Tropicana Phase-I,"Parsvnath La-Tropicana, Khyber Pass, Magazine Road, Civil Lines Delhi-110054 , Civil Lines, Delhi, North Delhi , 110054",110054,DLRERA2022P0002,13/10/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0002,Not Applicable
GODREJ PROJECTS NORTH LLP,"Godrej One, 5th Floor, Pirojshanagar, Eastern Express Highway, Vikhroli (E), Mumbai. ,Vikroli,maharastra,Mumbai,400079",400079,Godrejprojectsnorthllp@gmail.com,8800010790,Godrej Connaught One,"88/1-A, Lady Hardinge Road (now known as 14, Lady Hardinge Road), New Delhi , Central Delhi, Delhi, Central Delhi , 110001",110001,DLRERA2022P0001,31/07/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2022P0001,Not Applicable
DLF URBAN PRIVATE LIMITED,"15, Shivaji Marg, New Delhi, Delhi-110015 ,New Delhi,delhi,Delhi,110015",110015,rera@dupl.in,89290 53369,ONE Midtown,"15 Shivaji Marg, New delhi, 110015 , New delhi, Delhi, Delhi , 110015",110015,DLRERA2021P0007,12/07/2026,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2021P0007,Not Applicable
BOUNTIFUL INFRAPROJECTS PRIVATE LIMITED,"UNIT NO 105, FIRST FLOOR, VARDHMAN'S SIDHANT SHOPPING PLAZA, LSC SAVITA VIHAR , DELHI 110092,DELHI ,delhi,EAST DELHI ,110092",110092,sawasdee18rohini@gmail.com,7011751439,SAWASDEE 18,"LOCAL SHOPPING CENTRE BLOCK E , SECTOR -18, ROHINI , NEW DELHI 110089 , NORTH WEST DELHI , Delhi, NORTH WEST DELHI , 110089",110089,DLRERA2021P0006,15/01/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2021P0006,Not Applicable
DELHI MUNICIPAL PRESS CO-OPERATIVE GROUP HOUSING SOCIETY LTD,"DELHI MUNICIPAL PRESS C.G.H.S LTD. PLOT NO.29A, SECTOR-10, DWARKA, NEW DELHI-110075,DWARKA,delhi,SOUTH-WEST,110075",110075,dmpcghsdwarka@gmail.com,9811069821,DELHI MUNICIPAL PRESS COOPERATIVE GROUP HOUSING SOCIETY LTD.,"Plot No.29A, Sector-10, Dwarka, New Delhi-110075 , Dwarka, Delhi, South West , 110075",110075,DLRERA2021P0005,,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2021P0005,Not Applicable
UNITY BUILDWELL LIMITED,"G3, AGGARWAL CORPORATE TOWER, PLOT NO.23, DISTRICT CENTRE RAJENDRA PLACE,NEW DELHI,delhi,CENTRAL,110008",110008,ubl_rera@unitygroup.in,9968117566,CITY CENTRE-II,"Plot No.4, Sector-12, Dwarka, Opp. Dwarka Sector 12 Metro Station , New Delhi, Delhi, South West , 110075",110075,DLRERA2021P0004,31/12/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2021P0004,Form F for F1(103)PR-08.04.2022.pdf
OMAXE LIMITED,"SHOP NO-19-B, FIRST FLOOR OMAXE CELEBRATION MALL, SOHNA ROAD GURGAON ,Gurgaon,haryana,Gurgaon,122001",122001,rera_delhi@omaxe.com,9999999316,Omaxe Square,"Plot no 14, NHCC, at Jasola New Delhi , Delhi, Delhi, Delhi , 110020",110020,DLRERA2021P0003,31/03/2023,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2021P0003,Not Applicable
PARSVNATH REALCON PRIVATE LIMITED,"Parsvnath Tower Near Shahdara Metro Station Shahdara,Shahdara,delhi,Shahdara,110032",110032,rera@parsvnath.com,9205809569,Parsvnath Paramount,"Near Subhash Nagar Metro Station Subhash Nagar , Subhash Nagar, Delhi, New Delhi , 110027",110027,DLRERA2021P0002,23/03/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2021P0002,Not Applicable
HIPTAGE INFRASTRUCTURE PRIVATE LIMITED,"216-B, DEVIKA TOWER 6, NEHRU PLACE,NEW DELHI,delhi,SOUTH DELHI,110019",110019,info@pragatigroup.in,"9899423481, 8527144403",DEVIKA SADAR,"MULTILEVEL PARKING CUM COMMERCIAL COMPLEX AT QUTUB ROAD, DELHI , Delhi, Delhi, North Delhi , 110006",110006,DLRERA2021P0001,31/03/2022,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2021P0001,Form F for F1(92)PR-07.04.2022.pdf
BEST REALTY LLP,"2nd floor, 201, Plot No. H-8, Best Plaza, Netaji Subhash Place, Pitampura,North West Delhi,delhi,Delhi,110034",110034,info@bestfield.co.in,9888464646,BESTFIELD,"Plot-A , Adjoining Block-H, Netaji Subash Place, Wazipur District Center New Delhi , Delhi, Delhi, Delhi , 110034",110034,DLRERA2020P0006,29/05/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2020P0006,Not Applicable
BI LUXURY RESIDENCES PVT. LTD.,"54 Janpath ,NEW DELHI,delhi,DELHI,110001",110001,sb@bipgroup.com,9810000000,Trident Residences,"8, 9 & 11 Link Road, Jangpura Extension, New Delhi. , South Delhi/ New Delhi, Delhi, South Delhi , 110014",110014,DLRERA2020P0005,28/08/2023,,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2020P0005,Form F for F1(96)PR-18.10.2022.pdf
THE HAMDAM C.G.H.S. LTD.,"PLOT NO 7, SECTOR 18A, DWARKA, NEW DELHI,DWARKA,delhi,SOUTH WEST,110075",110075,sackum2010@gmail.com,9818457132,The Hamdam CGHS LTD,"Hamdam CGHS LTD, Plot no 7, Sector 18a, Dwarka, New Delhi-110075 , DWARKA, Delhi, SOUTH WEST , 110075",110075,DLRERA2020P0004,,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2020P0004,Not Applicable
INDIAN STATISTICAL INSTITUTE CO-OP GROUP HOUSING SOCIETY LTD.,"Plot No. 07, Co-op. Group Housing Societies Complex, Dhirpur Phase-1, Delhi – 110009 ,Delhi,delhi,Delhi,110009",110009,isicghsltd@yahoo.com,9582117737,Indian Statistical Co-op. Group Housing Society Ltd.,"Plot No.07, Co-op Group Housing Complex, Dhirpur, Phase I, Delhi - 10009 (Near Nirankari Complex) , Delhi, Delhi, Delhi , 110009",110009,DLRERA2020P0003,,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2020P0003,Not Applicable
INDOTECH INFRACON PRIVATE LIMITED,"12, C D, 2nd Floor, Vasant Square Mall, B 5 Vasant Kunj, New Delhi 110070 ,Vasant Kunj,delhi,Vasant Kunj,110070",110070,combomind@gmail.com,7905837446,Rang Homes - Punjabi Bagh,"Opposite Veer Savarkar Park, Punjabi Bagh New Delhi , South West Delhi, Delhi, Delhi , 110026",110026,DLRERA2020P0002,30/10/2024,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2020P0002,Not Applicable
SARV PRIYA MAHAJAN CGHS,"202 VARDHMAN AVON SHOPPING PLAZA C BLOCK MARKET SARASWATI VIHAR PITAMPURA,DELHI,delhi,NORTH WEST,110034",110034,satishchanderaggarwal@yahoo.in,9810716335,Sarv Priya Mahajan CGHS Ltd.,"14/1, Sector-14, Dwarka, New Delhi , South West, Delhi, South West , 110075",110075,DLRERA2020P0001,26/06/2024,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2020P0001,Form F for F1(79)PR-05.06.20220.pdf
OMAXE HERITAGE PRIVATE LIMITED ( F.K.A. ANSH BUILDERS PRIVATE LIMITED),"10 LOCAL SHOPPING CENTRE KALKAJI,NEW DELHI,DELHI,delhi,DELHI,110019",110019,rera@omaxe.com,9999999316,Omaxe Chandni Chowk,"Gandhi Maidan, H. C Sen Marg, Chandni Chowk, Delhi-110 006. , DELHI, Delhi, NORTH DELHI , 110006",110006,DLRERA2019P0005,31/07/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2019P0005,Form F for F1(60)PR-05.06.20220.pdf
MAHARISHI DAYANAND CO-OPERATIVE GROUP HOUSING SOCIETY LTD,"B-4 (Adjoining B-5 & B-6, DDA Flats) Vasant Kunj,New Delhi,delhi,South-West Delhi,110070",110070,mdcghs1175@gmail.com,9811816791,Maharishi Dayanand Co-Operative Group Housing Society Ltd,"B-4, (Adjoining B-5 & B-6, DDA Flats), Vasant Kunj, New Delhi. 110070 , New Delhi, Delhi, South West Delhi , 110070",110070,DLRERA2019P0004,24/04/2023,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2019P0004,Form F for F1(28)PR-05.06.20220.pdf
GODREJ VESTAMARK LLP,"Godrej One, 5th Floor, Pirojshanagar, Eastern Express Highway, Vikhroli (East),Mumbai,maharastra,Mumbai,400079",400079,godrejokhla@godrejproperties.com,8800010790,Godrej South Estate,"Plot No B 319, Okhla Industrial Area, Phase I, New Delhi , New Delhi, Delhi, New Delhi , 110020",110020,DLRERA2019P0003,30/08/2025,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2019P0003,Form F for F1(51)PR-05.06.20220.pdf
A P REAL ESTATES,"715,7th Floor, P P Trade Centre, P-1, Netaji Place,Pitampura, Delhi,New Delhi,delhi,north west,110034",110034,apwonder465@gmail.com,9711232765,A.P. Wonders,"opp. Pillar No-465, Near Rithala Metro, Rithala Delhi , New Delhi, Delhi, North West , 110085",110085,DLRERA2019P0002,30/04/2021,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2019P0002,Form F for F1(16)PR-05.06.20220.pdf
THE BHAGWATI CGHS LTD,"Plot No-1A , Sector-22, Dwarka , New Delhi,South West Delhi,delhi,South West Delhi,110077",110077,bhagwati_cghs@rediffmail.com,9910933811,The Bhagwati CGHS Ltd,"Plot No-1A, Sector-22, Dwarka , South West Delhi, Delhi, South West Delhi , 110077",110077,DLRERA2019P0001,31/07/2020,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2019P0001,Form F for F1(17)PR-05.06.20220.pdf
M K S TOWERS INTERNATIONAL PRIVATE LIMITED,"1110, 11th Floor, D-Mall, District Centre Wazirpur Netaji Subhash Place,Pitampura,delhi,North West Delhi,110034",110034,INFO@MKSVENTURES.IN,9599998111,MKS Shiva Market,"Multilevel Car Parking, Pitampura Village, abutting Outer Ring Road, Madhuban Chowk , Delhi, Delhi, North West Delhi , 110034",110034,DLRERA2018P0016,06/09/2022,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0016,Form F for F1(26)PR-05.06.20220.pdf
ANTARCTICA PROPERTIES COMPANY LIMITED.,"PLOT NO. 4B, MAYUR VIHAR DISTRICT CENTER PHASE-I EXTENSION,delhi,delhi,Delhi,110091",110091,propertiesantarctica@gmail.com,9999359873,The Address,"Plot No. 4B, Mayur vihar, District Centre, Phase -1 Extension , Delhi, Delhi, Delhi , 110091",110091,DLRERA2018P0015,30/04/2020,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0015,Not Applicable
BRILLIANT ETOILE PRIVATE LIMITED,"B-71, FLATTED FACTORY COMPLEX, OKHLA-III, MODI MILL,SOUTH DELHI,delhi,SOUTH DELHI,110020",110020,raghvendera@risland.com,9871717863,Sky Mansion,"Sky Mansion ,100/1, Chandan Hola , Hauz Khas, Delhi, South Delhi , 110074",110074,DLRERA2018P0014,25/08/2021,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0014,Form F for F1(24)PR-05.06.20220.pdf
RAHEJA DEVELOPERS LIMITED,"W4D, 204/5, Keshav Kunj, Cariappa Marg, Western Avenue, Sainik Farms,New Delhi,delhi,Delhi,110062",110062,shreya.goel@raheja.com,9971091904,"Raheja Mall, Kathputli Colony","Kathputli Colony, Main Patel Nagar, New Delhi , Delhi, Delhi, Delhi , 110008",110008,DLRERA2018P0013,25/06/2020,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0013,F.1(20)Execution-PR-RERA-2018.pdf
PARSVNATH DEVELOPERS LIMITED,"Parsvnath Tower, Near Shahdara Metro Station Shahdara ,Shahdara,delhi,Shahdara,110032",110032,rera@parsvnath.com,9205809569,The Parsvnath 27,"27 K. G. Marg New Delhi , New Delhi, Delhi, Delhi , 110001",110001,DLRERA2018P0012,31/10/2019,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0012,Not Applicable
BASANT PROJECTS LIMITED,"G-3, AGGARWAL CORPORATE TOWER, 23, DISTT. CENTRE, RAJENDRA PLACE,DELHI,delhi,CENTRAL,110008",110008,basant_rera4@unitygroup.in,9968117566,THE AMARYLLIS PHASE-III,"NEW ROHTAK ROAD, KAROL BAGH, DELHI , NEW DELHI, Delhi, CENTRAL , 110005",110005,DLRERA2018P0011,31/12/2021,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0011,Form F for F1(23)PR-05.06.20220.pdf
BASANT PROJECTS LIMITED,"G-3, AGGARWAL CORPORATE TOWER, 23, DISTT. CENTRE, RAJENDRA PLACE,DELHI,delhi,CENTRAL,110008",110008,basant_rera4@unitygroup.in,9968117566,THE AMARYLLIS PHASE-IV,"NEW ROHTAK ROAD, KAROL BAGH, DELHI , DELHI, Delhi, CENTRAL , 110005",110005,DLRERA2018P0009,31/12/2022,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0009,"Form F for F1(22)PR-05.06.20220.pdf, Form F for F1(22)PR-08.04.2022.pdf"
BASANT PROJECTS LIMITED,"G-3, AGGARWAL CORPORATE TOWER, 23, DISTT. CENTRE, RAJENDRA PLACE,DELHI,delhi,CENTRAL,110008",110008,basant_rera4@unitygroup.in,9968117566,THE AMARYLLIS PHASE-II,"KAROL BAGH , NEW DELHI, Delhi, CENTRAL , 110005",110005,DLRERA2018P0007,30/07/2021,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0007,Form F for F1(13)PR-05.06.20220.pdf
RAHEJA DEVELOPERS LIMITED,"W4D, 204/5, Keshav Kunj, Cariappa Marg, Western Avenue, Sainik Farms,New Delhi,delhi,Delhi,110062",110062,shreya.goel@raheja.com,9971091904,"Navin Minar, Phase I, Tower A, Kathputli Colony","Kathputli Colony, near Shadipur Depot, Patel Nagar, New Delhi , New Delhi, Delhi, New Delhi , 110008",110008,DLRERA2018P0005,,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0005,F.1(1)Execution-PR-RERA-2017.pdf
PUREARTH INFRASTRUCTURE LTD.,"6TH FLOOR, VIKRANT TOWER, 4 RAJENDRA PLACE,CENTRAL,delhi,CENTRAL,110008",110008,admin@purearth.in,9810501816,THE AMARYLLIS PHASE-1,"KAROL BAGH , NEW DELHI, Delhi, CENTRAL , 110005",110005,DLRERA2018P0004,31/01/2020,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0004,Form F for F1(12)PR-07.12.2017.pdf
PURI BUILDWELL PRIVATE LIMITED,"Plot No. 13, Pocket C-9, Sector -7, Rohini,Delhi,delhi,Delhi,110085",110085,puribuildwell@yahoo.com,9811418997,PP CITY CENTRE,"PLOT NO. 3, ROAD NO. 44, PITAM PURA, DELHI -110034 , DELHI, Delhi, Delhi , 110034",110034,DLRERA2018P0003,31/12/2018,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0003,Not Applicable
TIRATH RAM AHUJA PRIVATE LIMITED,"B-II/49, MOHAN CO-OPERATIVE INDL. AREA, BADARPUR,NEW DELHI,delhi,SOUTH DELHI,110044",110044,account@traengineers.com,01141094982,AVANT GARDE PROJECT,"11 FRIENDS COLONY WEST, NEW DELHI-110065 , NEW DELHI, Delhi, SOUTH DELHI , 110065",110065,DLRERA2018P0002,31/12/2022,On going,https://www.rera.delhi.gov.in/registered_promoters_list/online_view_periodic_progress_reports_history/DLRERA2018P0002,F.1(11)Extension-PR-RERA-2017 10-01-2023.pdf
PRATHAM INFRATECH PRIVATE LIMITED,"Ground Floor, Metro Station Box, Sector-12, Dwarka, New Delhi - 110075,",None,info@vegasmall.in,011-48584400,The Vegas,"Plot no-6, Sec-14(North) Dwarka, New Delhi -110075",110075,DLRERA2018P0001,28/01/2021,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/view_periodic_progress_reports_history/DLRERA2018P0001,Form F for F1(09)PR-05.06.20220.pdf
GEMSTAR BUILDERS & DEVELOPERS PRIVATE LTD.,"A-23, 3rd Floor, Green Park Main, New Delhi - 110016",110016,gemstarbuilders@gmail.com,011-41745442,Gemstar Builders & Developers Private Ltd.,"A-94, NeetiBagh, South Delhi District, State New Delhi-110049",110049,DLRERA2018P0006,04/03/2019,Completed,https://www.rera.delhi.gov.in/registered_promoters_list/view_periodic_progress_reports_history/DLRERA2018P0006,Not Applicable
